,Amount (INR),Day,Hour,Minute,Sender,Receiver
376197,6865.688965958557,18,17,7,0,0
918,4337.15,13,14,27,1,4
321006,2173.8062657397327,20,19,34,0,0
114665,4597.2,2,4,29,0,0
317599,4467.631885895659,25,10,9,0,0
357178,8722.741014103554,9,7,31,0,0
201974,7407.32,1,12,31,1,0
327641,8925.281547734652,27,21,53,0,0
96307,3183.82,18,1,7,0,0
239730,1089.24,6,3,38,0,0
41257,1473.35,30,18,0,0,0
11772,1581.66,24,4,6,0,0
36712,1017.51,11,23,36,0,0
207751,1979.47,7,13,26,0,0
196664,8389.78,7,7,38,0,2
337979,5469.41021906284,23,8,36,0,0
432355,6726.258869448676,28,10,52,0,0
42140,1675.05,29,0,9,0,0
123259,4011.21,19,1,29,0,0
291590,2603.8,25,6,26,0,0
38386,7283.25,23,0,35,0,0
66301,7550.91,24,5,29,0,3
1346,3631.39,3,20,28,0,1
127122,1749.25,11,14,42,0,4
10379,2249.73,8,4,2,0,0
187272,6482.89,10,20,37,0,0
214932,3043.63,3,19,30,0,0
339051,4955.210606697035,27,3,29,0,0
95681,8254.01,5,3,53,0,0
110847,5717.79,24,19,1,0,0
217040,9699.23,19,19,41,0,0
231781,3131.54,14,16,25,0,0
349221,2182.081381487988,28,5,45,0,0
124830,313.0,7,12,43,0,3
392391,2178.836543502388,29,9,46,0,0
388634,6356.441685252011,22,17,6,3,0
135741,9459.25,30,3,43,0,0
151331,3400.38,18,5,8,0,4
77061,5152.57,6,5,24,0,0
51077,5049.77,13,9,9,0,0
330998,5311.9617052175345,28,9,4,2,0
269131,6464.08,7,9,57,1,1
455283,419.14299534165315,19,3,53,0,0
167092,969.15,27,21,49,0,0
319709,9258.115854641275,28,14,46,0,0
351203,4245.264859374583,3,21,49,0,0
132607,2116.07,15,22,37,0,0
349882,7036.961698626044,9,7,37,0,1
54592,7287.82,2,13,41,0,0
117559,9808.21,16,22,30,0,0
390361,9222.995012098781,27,12,11,0,0
105585,8713.16,7,22,7,0,0
20067,1070.85,26,8,23,0,0
58089,4674.39,25,5,23,0,0
157802,3762.16,1,22,15,0,0
354709,9144.961736026862,24,2,2,0,0
213587,4179.92,13,18,10,0,0
233275,4310.96,30,17,47,0,0
277658,4182.11,16,11,28,0,0
138499,3602.11,29,7,20,0,0
76272,1324.35,27,19,33,0,0
86288,915.65,4,5,32,4,0
82275,5649.39,14,6,56,3,0
258261,5384.65,16,19,58,0,0
24209,8877.07,8,10,30,0,0
426953,9586.910590998918,9,10,56,0,0
161559,1828.46,17,20,29,0,0
257565,9458.83,21,10,23,0,0
460712,544.9796666961265,18,16,48,0,0
126549,7879.94,12,22,29,0,0
259792,2969.48,8,23,21,0,0
433225,5912.530292704587,8,11,42,0,0
439182,7289.449768357929,26,19,38,0,0
381302,7258.006047555618,2,21,19,0,0
281932,5398.29,14,8,53,3,0
320389,7754.827858345078,24,8,47,0,0
169962,1086.48,1,13,9,0,0
457742,8410.694152248578,5,13,19,0,0
138169,5020.27,30,6,13,0,0
421172,1207.9016788956374,16,11,58,0,0
2282,523.75,8,17,31,0,0
347850,6357.908381872777,10,7,35,0,0
316851,8462.146940063089,1,5,27,0,0
84465,4268.1,7,3,26,0,0
411780,3056.885383151107,14,19,6,0,0
179932,9895.26,8,14,43,0,2
362816,4173.346223196098,1,0,31,0,0
123933,1662.77,4,4,23,0,0
232590,2879.32,7,0,10,0,0
360103,7490.406437043019,1,12,33,0,0
416208,8132.36139098915,17,4,45,3,0
124831,2132.87,6,18,32,0,0
336594,7539.837863072358,22,4,39,0,0
386776,8879.516198809097,27,13,3,0,0
407633,4297.336793316973,4,3,56,0,0
166072,6987.27,11,3,42,0,0
331057,3712.757052849944,26,17,56,0,0
157557,4671.03,23,6,24,0,0
97207,6744.44,18,13,17,0,0
144506,8500.79,3,15,2,0,0
194545,4801.88,4,7,2,0,0
332177,4137.888471555866,14,3,24,0,0
390147,7195.645918286324,8,3,49,0,0
66701,782.35,28,18,8,0,0
404037,3369.3512124938247,18,11,49,0,0
22941,8380.51,4,6,11,0,0
9834,8434.82,20,5,39,0,0
282526,8822.84,13,3,53,0,0
452143,9514.627160617574,25,8,5,0,0
29191,1653.11,13,18,41,0,0
147050,2073.92,14,4,9,0,0
180039,2433.52,16,10,58,0,0
209314,1238.91,26,23,47,3,0
25413,9209.8,19,6,28,0,0
439227,5834.64356925666,23,17,19,0,0
11374,1429.18,25,4,53,0,0
440862,763.1365068497647,12,14,25,0,0
266385,1312.83,25,9,31,0,0
69048,6089.26,4,12,34,0,0
245275,2721.3,23,1,33,0,0
160703,9777.28,31,20,50,0,0
321260,4804.242980189248,19,4,56,0,0
241159,9558.46,13,7,51,0,0
116701,6228.42,6,23,9,0,0
275238,8863.24,20,9,4,0,0
291144,9372.87,12,16,29,0,2
446520,2834.813854788321,1,19,12,0,0
39392,8796.69,12,14,43,0,0
148969,9536.9,16,20,51,0,0
398708,5323.298980891008,17,13,6,0,0
421088,9262.377501907833,5,15,24,0,0
103452,1573.13,4,21,56,0,0
187132,9290.2,12,9,0,0,0
355434,3688.542453698412,19,5,46,0,0
133988,4346.93,29,0,53,0,0
87561,5330.94,13,23,31,0,0
189960,2334.03,3,18,36,0,0
410072,7337.247568713661,27,15,38,0,0
410255,1630.0674630440578,4,15,14,0,0
25011,4830.51,26,21,3,0,0
301098,1966.144712903014,26,16,10,0,0
372142,212.49149583340045,24,6,31,1,0
364854,3077.8801930761706,10,7,26,0,0
237686,9908.21,15,10,37,0,0
328251,2325.305063669252,13,10,8,0,0
263444,5089.87,9,12,42,0,0
77909,2712.59,22,7,16,0,0
17500,1130.79,31,22,7,0,0
435689,1828.1388935245745,14,21,34,0,4
16895,10292.32,7,16,0,0,0
333477,2108.906529749845,26,8,27,0,0
353063,4944.961601958074,27,14,14,0,0
421662,9968.63578192026,28,15,58,0,0
213869,4147.94,1,20,50,0,0
382615,8104.121364189661,6,21,21,0,0
393120,1302.0901952941676,24,2,6,0,0
54624,8619.84,21,23,56,0,0
103025,3843.59,25,16,4,0,0
378167,1486.960879573591,22,17,20,0,0
7593,6310.34,18,12,36,0,0
14808,1574.47,6,22,57,0,0
154401,6662.9,7,21,40,0,0
401479,1121.916874194877,24,21,52,0,2
118582,9477.66,12,21,6,0,0
248533,3992.24,11,5,46,0,0
438080,3053.3697761802946,6,5,1,0,2
133616,1648.05,5,6,43,0,0
409140,167.7895545485329,25,6,50,0,3
322386,9849.175102431163,7,13,2,0,0
342825,5825.040710408058,3,20,29,0,0
69658,5342.45,22,7,52,0,0
444638,1779.8747461933353,1,3,53,1,0
67630,56.56,1,3,13,0,0
308460,4596.528211691614,19,17,19,0,0
122797,7944.18,31,16,34,1,0
65524,7806.23,4,6,18,0,0
74545,9674.9,9,7,25,0,0
444066,5839.925906201396,26,18,32,0,0
183149,5484.86,16,16,48,0,0
195847,1681.67,14,2,47,0,0
276204,8815.23,6,10,25,0,0
98748,1959.42,6,15,2,0,0
352177,8899.359450719963,15,5,21,0,0
193042,4862.06,18,10,49,0,0
335190,8309.78579815798,26,6,17,0,0
387793,8532.029673721112,17,22,57,0,0
379499,8989.608496242694,6,3,49,0,0
434856,9159.668365597627,1,10,21,0,0
335476,1180.2248801278338,19,12,1,0,0
326436,9300.72479842298,24,19,16,0,0
31686,3701.01,14,4,34,0,0
325554,5013.76686152932,11,18,25,1,0
127190,707.47,8,10,42,0,0
136389,7634.9,3,9,9,0,0
240255,9043.08,31,21,38,0,0
214351,192.43,9,9,1,0,0
279412,2515.99,30,21,51,0,0
276021,5140.61,18,8,12,0,0
411829,827.6286884953166,9,10,32,0,0
393796,8676.434797862208,20,9,10,0,0
236057,8629.95,20,18,45,0,0
16946,6681.29,18,12,53,0,0
332328,7944.5649916852335,22,19,2,1,0
301279,7999.532456543172,25,9,0,0,0
238381,767.79,12,3,20,1,0
46334,7851.63,2,8,43,4,0
66144,2517.51,9,11,14,0,0
417132,2984.0046990892483,15,18,58,0,0
176474,2872.24,2,3,29,0,0
278547,5384.6,28,3,49,0,0
356819,581.1868469489588,4,9,56,0,0
138288,5200.18,30,1,30,0,0
25751,1566.08,14,23,40,0,0
303903,2906.0444615454217,1,19,4,0,0
147467,6589.7,17,0,47,0,0
191379,7245.99,19,13,41,0,0
441969,9742.94065072344,18,13,17,0,0
353788,7035.84063044035,5,2,53,1,2
436761,6602.9321284445705,24,20,59,0,0
96488,8950.95,12,0,6,0,0
458562,1385.3907120282825,18,14,21,0,0
107530,5188.17,27,22,57,0,0
62375,8644.66,10,21,33,0,1
20427,5685.92,3,8,40,0,0
62982,5982.37,19,23,46,0,0
439362,8192.408866682174,20,0,39,0,0
339746,717.144836043437,4,20,6,0,0
37492,9244.96,3,1,27,0,0
182794,3013.5,2,21,12,0,0
155367,2921.7,9,13,22,0,0
89785,9199.66,4,5,45,0,0
321743,3569.1552911337735,6,20,41,0,0
284869,8914.77,18,10,18,0,0
270582,4366.44,30,14,55,0,0
414427,39.532733447691086,11,16,22,0,0
416939,3639.1451238612126,20,10,26,0,0
188723,3774.37,15,21,5,1,0
204004,2653.62,12,21,25,0,0
18022,7544.89,30,22,11,0,3
208729,6865.77,14,12,26,0,0
182803,1838.46,23,15,18,0,0
370647,9251.53857982371,21,2,28,0,2
447887,7188.586459565445,11,8,55,0,0
67785,1981.49,2,10,51,0,0
84845,9188.86,26,23,16,0,0
40758,1457.18,9,17,52,0,0
146203,8542.64,5,18,4,0,4
253871,6380.78,28,2,3,4,0
250997,9117.99,22,1,11,0,0
65346,7011.09,1,8,0,0,4
291161,721.64,18,19,16,0,0
421335,3534.3569892360892,26,21,16,0,0
414014,966.4523356457545,26,7,6,0,0
297001,6710.96,22,21,56,0,0
243728,2602.07,29,8,6,0,0
363212,4851.070036823916,25,0,58,0,3
299569,3139.47,6,5,18,0,0
131181,1164.47,21,13,43,0,0
138833,3500.93,1,2,51,0,0
42349,8843.23,31,15,31,0,0
324312,4396.137600963149,8,13,51,0,0
889,9450.11,6,4,33,0,0
240752,6630.63,24,21,43,2,0
349561,6870.762755780753,7,11,20,0,0
390468,5072.249334225327,9,14,5,0,0
421898,7580.42545783538,1,18,48,0,0
185805,996.89,28,18,8,0,0
407785,5163.420349577534,22,16,34,0,0
15624,4694.99,27,0,23,0,0
409688,287.0378720360121,8,21,20,0,0
119591,7003.21,1,15,18,0,0
89551,1494.64,2,1,10,0,0
261414,2760.6,1,2,59,0,0
202832,3594.93,5,16,4,0,0
7045,9853.94,14,6,10,2,0
5617,7885.92,7,18,22,3,0
34318,5131.19,15,18,36,0,0
440885,7086.501716891413,3,12,11,0,0
119354,7361.0,4,11,24,2,0
375683,7171.851522021498,7,2,23,0,0
37718,6654.44,18,10,29,0,0
364721,961.5500017395752,15,12,40,0,0
156059,8897.45,14,0,40,0,0
247355,3732.6,4,2,8,0,0
389652,7306.761589371276,23,10,14,0,0
127374,4796.19,9,0,19,0,0
437948,1343.0703247934116,20,0,20,3,0
329504,9542.400010794021,6,11,41,0,0
406663,1857.7053694278436,20,13,54,0,0
418592,8390.95582715789,4,1,45,0,0
54524,731.18,25,20,8,0,0
180105,4826.58,9,19,25,1,0
53863,8988.53,18,17,12,0,0
295740,1576.55,6,17,21,0,0
351033,5250.308348980138,17,15,34,0,0
196037,1446.45,30,5,0,0,0
139971,3340.54,5,8,39,0,0
77454,6203.43,26,15,11,1,0
274521,5300.25,16,6,10,4,0
190588,170.58,25,5,19,0,0
86814,3081.9,22,21,12,0,0
250026,9321.85,21,6,51,0,0
121202,3847.73,14,4,35,0,0
244183,2830.48,22,6,51,0,0
82220,9916.36,12,8,38,0,0
223332,661.61,17,1,21,0,0
165803,1682.74,23,20,44,0,0
238168,8633.86,2,23,36,0,0
114690,5961.83,6,11,10,0,1
307286,8046.981913269433,2,16,10,0,0
328352,9735.828411413486,23,20,32,0,0
181672,8443.6,14,11,40,0,0
20136,6330.73,27,0,0,0,0
292043,7206.03,26,1,37,0,0
187008,3966.09,12,2,2,0,0
199840,7807.92,11,0,44,0,2
429475,6493.018363749103,29,3,46,2,0
4301,6608.14,16,5,38,0,0
269846,387.55,18,11,44,0,0
279991,1304.23,15,6,37,0,0
249484,4504.4,9,6,42,0,0
27726,754.94,4,7,9,0,0
426420,2138.896648443791,2,14,56,0,0
70474,1244.16,30,21,20,0,3
215036,5440.47,6,21,41,0,0
104014,8490.51,18,12,11,3,0
36911,9339.14,28,7,32,1,0
37107,1044.5,30,15,41,0,0
179786,6823.29,29,19,46,0,0
316672,6352.769812523,25,21,40,0,0
245174,6570.14,22,10,21,0,0
116572,8119.7,3,13,30,0,0
207225,3665.48,2,19,25,0,0
52591,2324.76,19,11,12,0,3
429593,814.1710084763412,3,10,28,0,0
24550,4842.12,22,14,3,0,0
434222,1579.5556417558405,16,7,52,0,0
219484,6739.23,27,11,57,0,0
169931,9436.34,23,14,19,0,0
200371,5771.48,23,11,19,0,0
138785,9502.42,3,12,35,0,0
110696,4706.62,2,7,34,0,0
113648,8998.06,16,12,52,0,0
381486,5479.794702167984,5,20,12,0,0
123483,7837.37,31,16,20,0,1
195590,2572.29,19,7,37,0,0
212040,3938.89,5,6,45,0,0
381523,9065.225808675967,2,19,44,0,0
146574,7691.34,27,11,19,0,0
307810,1476.555810385442,2,4,36,0,0
57966,8966.84,11,4,41,0,0
150010,1606.38,3,1,11,0,0
413381,6328.31132456278,28,2,0,0,0
191851,6474.89,15,19,22,0,0
452441,5635.392941351047,8,9,25,0,0
60592,257.95,22,20,30,0,0
163009,7709.49,19,19,9,0,0
321596,433.9685338771436,9,16,21,0,0
429462,5012.314420621932,19,5,17,0,0
147349,2142.13,15,13,0,0,0
14707,9701.46,17,22,39,0,0
360970,4768.109387646394,7,10,21,0,0
19767,3309.14,25,13,9,0,0
207578,6536.76,11,16,10,0,0
60510,951.09,3,12,52,0,0
224994,10015.07,4,6,31,0,0
384562,4234.971556475581,2,22,43,0,0
115479,2941.92,10,23,16,0,0
322319,1289.1749888006082,14,22,53,0,0
102752,6006.91,21,6,44,0,0
239876,10133.34,25,21,18,0,0
403811,8749.055215702067,3,10,4,0,0
451926,542.6720892384693,17,17,0,0,0
107593,8884.91,12,7,16,0,2
414338,4798.2372500250885,2,18,34,0,0
17183,4825.81,4,22,55,0,0
422245,666.0373206257444,15,22,25,0,0
391443,2445.512582092703,25,0,34,0,0
78147,8720.87,5,4,13,0,0
198498,6574.7,22,2,34,0,0
217497,4162.21,12,16,1,0,0
239747,3383.92,9,13,29,0,0
450489,4559.545210154729,17,21,17,0,0
449375,5062.289571930242,1,9,44,0,0
428864,5313.156837433955,20,14,55,0,0
79760,5807.15,6,12,28,0,0
449167,5965.5686021936735,7,19,26,0,0
213889,4627.99,26,5,47,0,0
215760,7302.96,20,17,28,0,0
363760,818.0081096439241,27,13,40,0,0
158922,2968.76,5,23,21,0,0
412257,6979.051347370234,2,5,3,0,0
23474,5236.37,8,1,26,0,0
427779,901.792319220843,28,20,21,0,0
325420,4421.730510284528,2,6,49,0,2
412720,6846.965132230309,12,15,47,0,0
369544,2400.712084122761,5,3,50,0,0
148727,5959.5,8,12,23,0,0
36969,3904.05,1,4,22,0,0
384738,7065.067038395724,28,11,56,0,0
459917,1633.5668183522148,29,19,13,0,0
177962,4275.71,9,18,39,0,0
164175,8456.2,3,7,43,2,0
250253,4194.07,22,18,6,0,0
450305,6222.931796516553,11,5,42,0,0
349429,2781.0114471355664,4,15,7,0,0
95359,3873.2,22,0,41,0,0
81091,7994.81,23,6,36,0,0
267759,1365.77,2,11,49,0,0
242831,7708.57,26,8,40,0,0
192239,9990.18,22,13,47,0,0
320853,3021.2526432896793,4,2,27,0,0
92534,7705.87,28,19,20,0,0
399134,4934.105382261874,16,15,15,0,0
212207,10291.22,8,1,52,0,0
153454,5177.27,7,19,34,0,0
9665,7100.43,4,15,15,0,0
196965,7614.62,25,12,51,4,3
159526,2377.94,20,15,22,0,0
132495,8030.39,30,9,26,0,0
341771,7992.225017269067,26,5,37,0,0
364396,7063.292190856217,20,16,40,0,0
297460,7344.57,22,15,13,0,0
20980,9423.88,28,10,26,0,0
380328,7834.475132096993,9,0,43,0,0
372031,1866.688554756001,5,3,17,0,0
223073,741.68,29,17,38,0,0
86395,8380.84,28,6,35,0,0
180661,8218.0,4,2,19,0,0
35549,4624.5,4,13,12,0,0
295656,6933.38,30,23,12,0,0
110753,9477.33,12,3,30,1,0
231650,7389.2,19,3,15,0,0
288586,4648.31,9,5,4,0,0
184526,6362.83,17,14,28,0,0
231276,6193.53,30,7,23,0,0
32968,7465.03,23,1,50,0,0
122021,474.93,20,1,50,0,0
284223,9295.34,17,8,4,0,0
405160,4395.936523804352,17,6,9,0,0
377831,8632.915949756669,7,12,26,0,0
232084,3467.08,15,11,43,0,0
374662,2865.447060582188,12,17,47,0,0
421683,7405.69810209159,3,20,3,0,0
175267,6562.17,11,1,12,3,0
149065,3764.01,1,12,20,0,0
31847,7224.72,9,5,44,0,0
202525,1352.99,13,9,29,0,0
366470,6297.14913061857,3,5,4,0,0
248800,4111.89,8,16,52,0,0
104113,1892.92,16,14,53,0,0
16623,7066.81,8,18,2,0,4
171545,3576.53,27,15,55,0,0
419714,7891.861171715109,7,22,45,0,0
208798,9275.94,28,18,26,0,0
37566,3560.34,3,22,5,0,0
248841,6176.25,13,21,4,0,0
202101,5885.59,1,11,39,2,0
98463,933.14,24,23,50,0,0
87379,2372.04,16,13,39,0,0
104426,4219.71,6,8,4,0,0
241283,4519.26,23,5,32,0,0
103301,3120.32,9,4,24,0,0
43015,1876.78,22,5,28,0,0
245125,1940.21,15,16,27,0,1
216715,9372.59,3,7,31,0,0
270160,2873.48,18,0,21,0,0
281140,4944.03,10,19,33,0,0
449666,2729.228303037789,26,12,52,0,0
255819,6218.32,4,17,56,0,0
136254,6023.05,4,17,47,0,0
318017,6504.436328697859,24,14,37,0,0
421876,7736.687428335215,6,2,1,0,0
264493,2484.38,6,7,21,0,0
395245,4431.013128586946,25,19,4,0,0
196413,1653.69,12,21,56,0,0
384238,916.5379258503576,25,22,18,0,0
154984,8707.06,16,15,38,0,0
31642,6761.2,12,7,39,0,0
310700,5051.36587488614,3,19,20,0,0
310170,4103.019265453431,11,1,1,0,0
275183,6613.11,28,18,41,0,0
213033,5252.26,13,14,42,0,1
366170,834.7248867224149,14,14,38,0,0
387276,347.09604386040735,13,9,52,0,0
373462,1687.613829248811,3,22,26,0,0
216956,3229.44,27,12,51,0,0
209990,2255.17,20,1,32,0,0
298827,3733.91,3,5,3,0,0
241427,1964.87,11,4,41,0,4
326566,5815.165084602182,1,2,4,0,0
147054,8350.36,9,0,12,0,0
368966,4960.201110696141,10,11,7,0,0
61957,7355.75,5,3,57,0,0
31384,522.64,24,10,4,0,0
31067,2305.57,5,6,41,0,0
330245,9096.31775641256,1,22,18,0,1
200391,7237.32,16,18,23,0,0
207221,8962.97,25,3,12,0,0
422237,628.6960477052461,13,7,23,0,0
278194,9328.29,11,4,8,0,0
314139,9598.181934587434,7,15,28,0,0
121792,972.95,3,2,13,0,0
131135,6189.44,15,19,50,0,0
393705,5002.3757299360195,3,15,12,0,0
278253,6907.2,22,19,47,0,0
44893,452.21,23,12,49,0,0
165967,4945.74,11,8,55,0,0
376014,8217.041306179097,9,5,44,0,0
418525,661.4611220592387,1,18,7,0,0
431674,2136.5598902963934,11,20,18,0,0
404470,9407.425654338133,4,8,23,0,0
405955,9037.607211236458,21,17,16,2,0
300162,6377.684509529565,16,13,19,0,0
290151,8343.89,21,3,50,0,0
105242,6739.34,5,0,30,0,0
293002,2761.67,8,15,45,0,0
343931,7413.75668477623,6,14,17,0,0
318300,5081.781231098582,10,5,35,0,0
93746,4151.85,15,11,38,0,0
270388,3936.62,15,15,57,0,0
425910,1975.0630586679442,14,18,20,0,0
453674,3656.00413709682,8,16,31,0,0
416,2666.6,28,12,16,0,2
59930,7454.65,8,1,40,0,0
12547,3954.38,31,18,6,0,0
358502,3117.257153640946,24,9,45,0,0
1874,7589.08,15,9,14,0,0
67975,5482.69,2,19,14,0,0
176525,7026.98,31,12,17,0,0
270257,9925.4,26,11,57,0,0
54837,8933.53,7,15,55,0,0
107395,7519.31,29,16,1,0,0
303682,7821.6562305437,16,13,33,0,0
64399,6479.75,24,12,54,0,2
368851,3946.5054938658104,16,16,10,0,0
197695,4553.95,23,10,27,0,2
302146,10431.513689245308,22,11,53,1,0
306124,8228.783728246011,20,15,45,0,0
254942,9563.9,15,9,6,0,2
6044,1065.08,23,13,34,0,1
428493,3290.6612305096955,20,3,39,0,0
429430,6356.784123084168,24,5,20,0,0
28937,279.65,1,7,11,0,0
219887,8107.55,28,10,46,0,0
440966,2179.397885941876,16,5,29,0,0
167244,662.04,30,12,29,3,0
56888,8037.41,8,10,8,0,0
195298,1066.03,25,9,29,0,0
234838,3645.25,13,10,16,0,0
10358,7009.39,13,13,26,2,0
170655,1248.4,13,1,11,0,0
379809,9079.021709746023,17,8,11,0,0
299162,7246.47,2,6,8,0,0
192504,9052.79,27,19,40,2,0
170406,2730.99,23,3,45,3,0
247738,3259.64,13,6,0,0,0
446928,8166.758447069239,3,8,6,0,0
319927,7618.234725152119,28,22,25,1,0
182279,3958.86,10,5,47,0,0
71341,6732.74,11,2,29,0,0
92152,5852.93,17,18,1,0,0
315710,7500.627907845093,26,18,10,0,0
379117,2625.378885857286,7,20,53,0,0
194332,4320.26,16,4,9,0,0
98683,5114.06,28,4,7,0,0
361521,3164.739436046523,25,3,2,0,0
368471,2684.5626880278064,9,11,17,0,0
338160,617.0700583530528,19,9,22,0,0
419963,7834.581818789179,27,1,49,0,0
221410,2585.88,18,23,59,0,0
316732,3848.0430442539514,23,22,2,0,0
339741,7202.084474747263,20,7,18,0,0
255212,7295.17,2,19,0,0,0
173951,2944.03,12,13,13,0,0
258021,8094.18,29,15,50,0,0
160944,4619.42,2,1,18,3,0
384841,3539.1641395823813,18,7,37,0,0
330691,1357.5548715048196,11,0,52,0,0
375610,763.4644755975744,17,16,12,0,0
312892,3669.963097829876,8,22,29,0,0
397054,2516.4053307155614,28,15,4,0,0
109750,6491.0,15,3,13,0,0
444133,3626.4674673385493,4,4,51,0,0
194196,8420.04,30,17,56,0,0
127909,2928.41,24,23,15,0,0
123270,1182.47,15,16,31,0,0
428201,418.42080230997374,19,3,51,0,0
171095,1326.73,16,6,2,0,0
736,9219.72,21,17,56,0,0
331065,3538.046218419154,21,9,24,0,0
195454,3797.81,24,1,29,0,0
178081,1300.74,9,13,30,0,0
298124,6881.51,16,13,18,1,0
296009,4231.74,6,3,13,0,0
77726,8677.36,29,16,57,0,0
317041,3106.8091452513554,4,21,12,0,0
362294,1571.5145935833248,11,22,48,0,0
393874,4062.1034441525267,12,3,53,0,0
195925,3984.8,15,0,26,0,0
138258,8192.36,5,18,29,0,0
101606,3984.95,1,18,17,0,0
369692,1225.565270891949,7,15,32,0,0
70972,7073.09,5,23,12,0,0
217063,4912.6,17,23,54,0,0
401902,3315.716753345092,25,3,51,0,0
256967,1165.25,26,18,6,0,0
415184,4687.860616589175,3,4,21,0,0
28247,7453.97,21,18,32,0,0
375659,7011.916920217374,5,7,3,0,0
58619,8883.48,24,11,6,0,0
362581,864.8753941541443,16,14,28,0,0
188587,7555.81,5,1,3,0,0
318631,9198.02841979706,23,17,13,0,0
386022,4072.965858951491,3,5,56,0,0
214260,8219.04,3,21,34,0,0
440354,2807.6328305032634,10,22,41,0,0
368866,7882.309409965662,22,17,9,0,0
458368,563.3963548449967,2,15,41,0,0
24298,2851.48,24,13,48,0,0
153695,247.28,29,0,31,0,0
313047,6214.276204027062,15,0,31,0,0
67932,1025.66,28,14,19,0,0
46857,2294.24,4,12,46,0,0
249156,10278.11,14,4,13,0,0
393309,4079.192110291456,5,4,33,0,1
438980,7224.152258986843,4,10,40,0,0
431320,7117.513780564418,3,0,4,0,0
128174,4717.78,23,18,49,0,0
200602,4810.73,23,4,21,0,0
83701,3683.38,7,3,6,0,0
29808,1526.89,15,8,48,0,0
57795,8247.26,1,17,50,0,0
131958,4363.93,8,18,42,0,3
281149,873.44,8,6,27,0,0
246758,5766.66,16,22,12,0,0
266054,1694.73,6,8,3,1,0
303818,5592.056705430071,17,1,14,0,0
89304,767.35,21,7,58,3,0
461109,8253.524774963726,24,17,21,0,0
349038,1184.9728010014505,3,11,8,0,0
125381,232.76,26,22,0,0,0
171875,7700.61,24,9,2,0,0
325735,1829.1907130035272,15,3,33,0,0
122129,582.58,31,5,25,0,0
164124,918.77,20,10,14,0,0
181759,8103.94,8,2,1,0,0
8179,5303.24,9,6,56,0,0
401009,7356.098105735041,9,17,47,0,0
269646,2620.23,21,6,48,0,0
406385,8015.506769856161,21,1,10,0,0
77594,6326.18,23,19,32,0,0
314075,8786.906419392117,7,17,55,0,0
306101,10303.83035620506,18,12,6,0,0
345435,6965.812674407323,21,1,3,0,0
14121,735.46,29,4,0,0,0
297697,2752.71,16,21,31,0,0
126971,1524.26,10,0,14,0,0
155150,9418.13,13,0,9,0,0
91215,599.51,15,13,0,0,0
116552,8070.98,9,14,34,0,0
253517,8661.67,11,13,50,2,0
92784,3381.47,2,2,24,0,0
241326,8708.46,20,20,10,0,0
198533,8857.65,30,8,3,0,0
224190,4123.77,21,4,21,0,0
306637,5908.084206755139,26,14,29,0,0
36920,6149.88,10,9,13,0,0
126065,10472.79,20,12,15,0,0
230936,5482.87,26,4,56,0,1
130849,9039.93,17,17,55,0,0
11173,8777.57,24,20,18,0,0
436719,787.3031143339949,16,12,54,0,0
106912,7468.42,1,20,58,0,1
198009,9381.87,5,21,3,0,0
64935,4397.04,5,15,1,0,0
88951,4235.96,17,14,54,0,0
251520,2651.47,20,16,17,0,0
410132,2481.825594707922,17,5,44,0,0
326229,6576.509526026245,6,3,49,0,0
426416,3747.756649021296,2,16,11,0,0
195858,4750.67,24,17,47,0,0
225173,2748.13,23,17,43,0,0
48601,3942.14,21,6,58,0,0
49966,5358.44,13,13,19,0,0
368348,8485.619383175454,7,19,51,0,0
234780,6275.66,12,19,44,0,0
265519,3949.31,16,17,54,0,0
404728,9527.389775678437,4,9,22,1,0
281439,4138.15,7,3,0,3,3
171822,5189.18,8,19,55,0,0
298167,4355.11,9,4,33,3,0
13741,9583.16,3,11,48,0,0
183549,6914.95,19,14,19,0,0
205431,4026.36,12,10,47,0,2
235590,3062.38,1,2,38,0,0
370147,10104.290803987484,8,16,48,0,0
452426,5824.212402660148,25,5,35,0,0
162954,7222.93,2,21,23,0,0
260665,6774.12,6,11,10,0,0
410589,3459.003609722143,9,2,3,0,0
78330,6826.41,3,10,26,0,0
402116,4559.6384017201435,13,5,55,0,0
277915,196.25,28,10,56,0,3
398437,53.73182014011095,23,21,9,0,0
255653,9634.11,26,4,15,0,0
393359,2066.4403667067922,3,19,36,0,0
229248,503.78,30,10,40,0,2
178166,1740.33,12,3,24,0,0
393273,10292.719061885857,27,18,44,0,0
437192,7243.5546066912675,7,18,41,0,0
405699,8359.073757083986,7,2,28,0,0
429930,2476.316513375936,20,2,8,0,0
368562,1002.9763983990059,4,14,5,0,0
414641,2088.290626923394,23,12,58,0,0
152170,1352.55,28,19,27,0,0
309059,8862.626724580876,10,18,51,0,0
103394,7817.07,20,18,33,0,0
288419,9159.64,3,7,18,0,0
190087,9402.49,15,11,8,0,0
133393,4655.54,23,4,24,0,0
455354,2255.1310980219228,4,3,54,0,0
316783,989.5932472147421,1,7,55,0,0
41243,844.99,18,22,19,0,0
66433,8544.0,5,12,26,0,0
360320,4889.919787917956,9,7,12,0,1
457689,7993.46971497116,10,13,32,0,0
139925,3387.3,4,19,32,0,0
210627,165.22,30,21,46,0,0
226614,6437.9,28,18,41,0,0
51331,6179.19,27,20,49,0,0
245168,8942.49,1,11,16,2,0
